epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,238.473,0.48028,0.47364,1.045,0.98649,1,0.995,0.92928,0.42553,0.39222,1.26448,0.0007921,0.0007921,0.0007921
44,243.951,0.49121,0.49933,1.07763,0.98649,1,0.995,0.91636,0.44225,0.38541,1.25309,0.00078715,0.00078715,0.00078715
45,248.861,0.49246,0.47828,1.09919,0.98767,1,0.995,0.91472,0.4561,0.38954,1.25416,0.0007822,0.0007822,0.0007822
46,253.747,0.52098,0.45124,1.16054,0.9856,0.99878,0.995,0.91587,0.44279,0.38803,1.24211,0.00077725,0.00077725,0.00077725
47,258.727,0.46853,0.47176,1.07032,0.9856,0.99878,0.995,0.91587,0.44279,0.38803,1.24211,0.0007723,0.0007723,0.0007723
48,263.86,0.45773,0.42009,1.05339,0.98048,0.99795,0.995,0.91846,0.43189,0.39076,1.24434,0.00076735,0.00076735,0.00076735
49,268.856,0.47886,0.43184,1.07061,0.98228,1,0.995,0.92851,0.42367,0.37928,1.24528,0.0007624,0.0007624,0.0007624
50,273.904,0.46154,0.42168,1.05606,0.98714,1,0.995,0.93205,0.41473,0.37023,1.24103,0.00075745,0.00075745,0.00075745
51,278.878,0.45747,0.41194,1.05464,0.98714,1,0.995,0.93205,0.41473,0.37023,1.24103,0.0007525,0.0007525,0.0007525
52,284.725,0.47556,0.44362,1.07088,0.98934,0.99759,0.995,0.92966,0.41464,0.3582,1.22746,0.00074755,0.00074755,0.00074755
53,289.635,0.48083,0.434,1.07158,0.99048,0.99224,0.995,0.93688,0.42402,0.35585,1.21437,0.0007426,0.0007426,0.0007426
54,294.692,0.45007,0.40415,1.05145,0.98608,0.99713,0.995,0.93928,0.41468,0.34898,1.21329,0.00073765,0.00073765,0.00073765
55,300.146,0.41624,0.40932,1.00668,0.98608,0.99713,0.995,0.93928,0.41468,0.34898,1.21329,0.0007327,0.0007327,0.0007327
56,305.434,0.46095,0.42726,1.10157,0.98052,0.99959,0.995,0.94227,0.41073,0.35298,1.21657,0.00072775,0.00072775,0.00072775
57,310.614,0.46145,0.41352,1.05036,0.98361,0.99712,0.995,0.94339,0.41228,0.3532,1.22043,0.0007228,0.0007228,0.0007228
58,315.698,0.45648,0.41752,1.08429,0.98766,0.99805,0.995,0.94537,0.40533,0.34181,1.2082,0.00071785,0.00071785,0.00071785
59,320.707,0.4523,0.41114,1.07838,0.98766,0.99805,0.995,0.94537,0.40533,0.34181,1.2082,0.0007129,0.0007129,0.0007129
60,325.82,0.46682,0.42508,1.05774,0.99223,1,0.995,0.93755,0.39851,0.34315,1.19241,0.00070795,0.00070795,0.00070795
61,331.829,0.45753,0.41343,1.0421,0.99038,1,0.995,0.94475,0.38825,0.34502,1.20137,0.000703,0.000703,0.000703
62,336.837,0.43203,0.384,1.03596,0.99202,1,0.995,0.94801,0.38024,0.33583,1.21448,0.00069805,0.00069805,0.00069805
63,341.945,0.42971,0.38597,1.04006,0.99202,1,0.995,0.94801,0.38024,0.33583,1.21448,0.0006931,0.0006931,0.0006931
64,347.195,0.46631,0.421,1.12897,0.9919,1,0.995,0.94046,0.38379,0.33169,1.22764,0.00068815,0.00068815,0.00068815
65,352.123,0.41434,0.38045,0.99888,0.9913,1,0.995,0.94751,0.38069,0.33115,1.22648,0.0006832,0.0006832,0.0006832
66,357.024,0.44773,0.38165,1.0537,0.99122,0.99993,0.995,0.94428,0.3776,0.33406,1.22225,0.00067825,0.00067825,0.00067825
67,361.901,0.43681,0.4058,1.02446,0.99122,0.99993,0.995,0.94428,0.3776,0.33406,1.22225,0.0006733,0.0006733,0.0006733
68,366.877,0.43356,0.42166,1.02017,0.98906,1,0.995,0.9477,0.3774,0.33824,1.22259,0.00066835,0.00066835,0.00066835
69,372.196,0.42713,0.39165,1.04902,0.98944,1,0.995,0.94289,0.38422,0.33056,1.22068,0.0006634,0.0006634,0.0006634
70,377.129,0.43121,0.40232,1.03428,0.9907,1,0.995,0.94367,0.39411,0.32419,1.21097,0.00065845,0.00065845,0.00065845
71,381.95,0.44581,0.38423,1.0928,0.9907,1,0.995,0.94367,0.39411,0.32419,1.21097,0.0006535,0.0006535,0.0006535
72,386.836,0.48238,0.39822,1.13147,0.98853,1,0.995,0.94766,0.39368,0.32169,1.20311,0.00064855,0.00064855,0.00064855
73,391.759,0.38677,0.35687,0.99915,0.98563,1,0.995,0.94314,0.38156,0.31896,1.2021,0.0006436,0.0006436,0.0006436
